"Date and Time Run 1","Time (s) Run 1","Force Beam 1 (N) Run 1","Force Beam 2 (N) Run 1","Force Beam 3 (N) Run 1","Force Beam 4 (N) Run 1","Vertical Force (N) Run 1","Date and Time Run 2","Time (s) Run 2","Force Beam 1 (N) Run 2","Force Beam 2 (N) Run 2","Force Beam 3 (N) Run 2","Force Beam 4 (N) Run 2","Vertical Force (N) Run 2"
11/01/2022 08:48:37 am,1.120,52.18,55.37,-4.78,23.78,126.56,11/01/2022 08:50:52 am,1.120,-3.08,43.81,31.19,59.52,131.45
11/01/2022 08:48:37 am,1.125,49.93,54.67,-4.81,23.93,123.73,11/01/2022 08:50:52 am,1.125,-4.65,60.65,7.21,77.88,141.10
11/01/2022 08:48:37 am,1.130,48.75,53.87,-4.76,24.16,122.03,11/01/2022 08:50:52 am,1.130,-4.80,55.47,3.90,76.36,130.94
11/01/2022 08:48:37 am,1.135,48.00,53.45,-4.66,24.70,121.49,11/01/2022 08:50:52 am,1.135,-4.43,49.44,6.68,72.96,124.66
11/01/2022 08:48:37 am,1.140,47.35,53.30,-4.73,25.10,121.02,11/01/2022 08:50:52 am,1.140,-3.95,44.96,12.28,65.61,118.90
11/01/2022 08:48:37 am,1.145,48.80,53.25,-4.73,34.66,131.98,11/01/2022 08:50:52 am,1.145,-3.93,35.46,16.75,59.72,108.00
11/01/2022 08:48:37 am,1.150,54.81,54.32,-4.76,41.54,145.92,11/01/2022 08:50:52 am,1.150,-4.40,37.03,10.56,59.32,102.51
11/01/2022 08:48:37 am,1.155,50.55,56.35,-4.96,44.93,146.88,11/01/2022 08:50:52 am,1.155,-4.40,36.01,9.58,57.51,98.70
11/01/2022 08:48:37 am,1.160,46.80,55.65,-4.66,43.11,140.90,11/01/2022 08:50:52 am,1.160,-4.25,32.03,11.72,53.15,92.66
11/01/2022 08:48:37 am,1.165,45.44,55.85,-5.01,44.33,140.62,11/01/2022 08:50:52 am,1.165,-4.08,26.27,12.63,49.73,84.56
11/01/2022 08:48:37 am,1.170,41.69,55.07,-4.68,42.22,134.31,11/01/2022 08:50:52 am,1.170,-4.15,25.60,10.99,48.21,80.65
